phenotype,celltype
CD4-CK-CD3-CD56-CD8-FOXP3-,other
CD4-CK-CD3-CD56-CD8-FOXP3+,FOXP3
CD4-CK-CD3-CD56-CD8+FOXP3-,CD8
CD4-CK-CD3-CD56-CD8+FOXP3+,CD8_FOXP3
CD4-CK-CD3-CD56+CD8-FOXP3-,NK
CD4-CK-CD3-CD56+CD8-FOXP3+,other
CD4-CK-CD3-CD56+CD8+FOXP3-,CD8_CD56
CD4-CK-CD3-CD56+CD8+FOXP3+,other
CD4-CK-CD3+CD56-CD8-FOXP3-,T
CD4-CK-CD3+CD56-CD8-FOXP3+,Treg
CD4-CK-CD3+CD56-CD8+FOXP3-,CD8
CD4-CK-CD3+CD56-CD8+FOXP3+,CD8_FOXP3
CD4-CK-CD3+CD56+CD8-FOXP3-,NKT
CD4-CK-CD3+CD56+CD8-FOXP3+,NKT_FOXP3
CD4-CK-CD3+CD56+CD8+FOXP3-,NKT
CD4-CK-CD3+CD56+CD8+FOXP3+,CD8_CD56_FOXP3
CD4-CK+CD3-CD56-CD8-FOXP3-,Tumor
CD4-CK+CD3-CD56-CD8-FOXP3+,FOXP3
CD4-CK+CD3-CD56-CD8+FOXP3-,CD8
CD4-CK+CD3-CD56-CD8+FOXP3+,CD8_FOXP3
CD4-CK+CD3-CD56+CD8-FOXP3-,Tumor_CD56
CD4-CK+CD3-CD56+CD8-FOXP3+,other
CD4-CK+CD3-CD56+CD8+FOXP3-,CD8_CD56
CD4-CK+CD3-CD56+CD8+FOXP3+,other
CD4-CK+CD3+CD56-CD8-FOXP3-,T
CD4-CK+CD3+CD56-CD8-FOXP3+,Treg
CD4-CK+CD3+CD56-CD8+FOXP3-,CD8
CD4-CK+CD3+CD56-CD8+FOXP3+,CD8_FOXP3
CD4-CK+CD3+CD56+CD8-FOXP3-,NKT
CD4-CK+CD3+CD56+CD8-FOXP3+,NKT_FOXP3
CD4-CK+CD3+CD56+CD8+FOXP3-,NKT
CD4-CK+CD3+CD56+CD8+FOXP3+,CD8_CD56_FOXP3
CD4+CK-CD3-CD56-CD8-FOXP3-,CD4
CD4+CK-CD3-CD56-CD8-FOXP3+,Treg
CD4+CK-CD3-CD56-CD8+FOXP3-,CD4_CD8
CD4+CK-CD3-CD56-CD8+FOXP3+,CD4_CD8_FOXP3
CD4+CK-CD3-CD56+CD8-FOXP3-,CD4_CD56
CD4+CK-CD3-CD56+CD8-FOXP3+,Treg_CD56
CD4+CK-CD3-CD56+CD8+FOXP3-,other
CD4+CK-CD3-CD56+CD8+FOXP3+,other
CD4+CK-CD3+CD56-CD8-FOXP3-,CD4
CD4+CK-CD3+CD56-CD8-FOXP3+,Treg
CD4+CK-CD3+CD56-CD8+FOXP3-,CD4_CD8
CD4+CK-CD3+CD56-CD8+FOXP3+,CD4_CD8_FOXP3
CD4+CK-CD3+CD56+CD8-FOXP3-,NKT
CD4+CK-CD3+CD56+CD8-FOXP3+,Treg_CD56
CD4+CK-CD3+CD56+CD8+FOXP3-,other
CD4+CK-CD3+CD56+CD8+FOXP3+,other
CD4+CK+CD3-CD56-CD8-FOXP3-,CD4
CD4+CK+CD3-CD56-CD8-FOXP3+,Treg
CD4+CK+CD3-CD56-CD8+FOXP3-,CD4_CD8
CD4+CK+CD3-CD56-CD8+FOXP3+,CD4_CD8_FOXP3
CD4+CK+CD3-CD56+CD8-FOXP3-,other
CD4+CK+CD3-CD56+CD8-FOXP3+,other
CD4+CK+CD3-CD56+CD8+FOXP3-,other
CD4+CK+CD3-CD56+CD8+FOXP3+,other
CD4+CK+CD3+CD56-CD8-FOXP3-,CD4
CD4+CK+CD3+CD56-CD8-FOXP3+,Treg
CD4+CK+CD3+CD56-CD8+FOXP3-,CD4_CD8
CD4+CK+CD3+CD56-CD8+FOXP3+,CD4_CD8_FOXP3
CD4+CK+CD3+CD56+CD8-FOXP3-,NKT
CD4+CK+CD3+CD56+CD8-FOXP3+,Treg_CD56
CD4+CK+CD3+CD56+CD8+FOXP3-,other
CD4+CK+CD3+CD56+CD8+FOXP3+,other